Natural Gas,186,0,"2,056","14,533","3,715",0,ND,0,ND,"20,490"
Nuclear,0,"1,429",113,0,"14,571",0,ND,0,ND,"16,113"
Total,"16,239","86,970","30,703","26,866","60,835","30,427",ND,"40,537","70,000","292,577"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,186,"31,351","4,092","25,188","8,294","1,161",ND,ND,ND,"70,272"
Purchased from Supplier(s),"16,053","55,619","26,611","1,678","52,541","29,266",ND,ND,ND,"181,768"
Total,"16,239","86,970","30,703","26,866","60,835","30,427",ND,ND,"110,500","252,040"

1998,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),ND,ND,ND,ND,ND,ND,ND,ND,-,"22,721,000"
Reporting Production (tonnes),"1,036,572","6,110,539","2,071,045","1,643,199","3,828,019","1,949,604",0,"2,384,000","3,698,022","19,022,978"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"2,832","67,540","31,192","2,828","27,849","7,167",ND,"3,689",ND,"143,097"
Coal,"9,830","28,868",0,"8,814","12,019","22,582",ND,"33,199",ND,"115,312"
Oil,0,27,0,108,"1,282",0,ND,0,ND,"1,417"
Natural Gas,"2,918",0,"1,742","14,264","3,744",0,ND,0,ND,"22,668"
Nuclear,56,967,115,0,"14,625",0,ND,0,ND,"15,763"
Total,"15,636","97,402","33,049","26,014","59,519","29,749",ND,"36,888","58,000","298,257"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,418,"30,813","3,652","23,584","8,907","1,085",ND,ND,ND,"68,459"
Purchased from Supplier(s),"15,218","66,589","29,397","2,430","50,612","28,664",ND,ND,ND,"192,910"
Total,"15,636","97,402","33,049","26,014","59,519","29,749",ND,ND,"95,000","261,369"

1997,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),ND,ND,ND,ND,ND,ND,ND,ND,-,"21,807,000"
Reporting Production (tonnes),"1,104,697","5,931,360","2,111,232","1,718,847","3,474,719","1,805,387",0,"2,035,000","3,625,758","18,181,242"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,986","65,313","31,898","4,317","25,767","7,340",ND,"3,227",ND,"144,848"
Coal,"9,530","28,555",0,"8,741","11,595","19,633",ND,"29,044",ND,"107,098"
Oil,0,0,0,81,"1,264",0,ND,0,ND,"1,345"
Natural Gas,0,77,"1,036","13,956","3,632",446,ND,0,ND,"19,147"
