"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Car","PHEV40","Interior","n","Low",2018,-0.694490778036169
"BAU","Light truck","PHEV40","Interior","n","Low",2018,-1.4329893484481
"BAU","Car","BEV100","Tires","n","Low",2018,-0.969508167278306
"BAU","Light truck","BEV100","Tires","n","Low",2018,-1.9859421226872
"BAU","Car","BEV300","Tires","n","Low",2018,-4.57272152017433
"BAU","Light truck","BEV300","Tires","n","Low",2018,-7.50236129762144
"BAU","Car","PHEV20","Tires","n","Low",2018,-0.295375569444616
"BAU","Light truck","PHEV20","Tires","n","Low",2018,-0.493115661948941
"BAU","Car","PHEV40","Tires","n","Low",2018,-0.675199367535157
"BAU","Light truck","PHEV40","Tires","n","Low",2018,-1.39318408876904
"BAU","Car","BEV100","Traction Motor","n","Low",2018,-2.69787640725174
"BAU","Light truck","BEV100","Traction Motor","n","Low",2018,-5.61087154469334
"BAU","Car","BEV300","Traction Motor","n","Low",2018,-15.3432672010855
"BAU","Light truck","BEV300","Traction Motor","n","Low",2018,-25.8596759960056
"BAU","Car","PHEV20","Traction Motor","n","Low",2018,-0.2254164992762
"BAU","Light truck","PHEV20","Traction Motor","n","Low",2018,-0.437402646668644
"BAU","Car","PHEV40","Traction Motor","n","Low",2018,-0.867128698739634
"BAU","Light truck","PHEV40","Traction Motor","n","Low",2018,-2.01635447776475
"BAU","Car","BEV100","Transmission","n","Low",2018,-3.8780326691132
"BAU","Light truck","BEV100","Transmission","n","Low",2018,-7.94376849074882
"BAU","Car","BEV300","Transmission","n","Low",2018,-18.2908860806973
"BAU","Light truck","BEV300","Transmission","n","Low",2018,-30.0094451904858
"BAU","Car","PHEV20","Transmission","n","Low",2018,-1.18150227777846
"BAU","Light truck","PHEV20","Transmission","n","Low",2018,-1.97246264779578
"BAU","Car","PHEV40","Transmission","n","Low",2018,-2.70079747014066
"BAU","Light truck","PHEV40","Transmission","n","Low",2018,-5.57273635507615
"BAU","Car","BEV100","Wheels","n","Low",2018,-0.96950816727831
"BAU","Light truck","BEV100","Wheels","n","Low",2018,-1.98594212268721
"BAU","Car","BEV300","Wheels","n","Low",2018,-4.57272152017433
"BAU","Light truck","BEV300","Wheels","n","Low",2018,-7.50236129762144
"BAU","Car","PHEV20","Wheels","n","Low",2018,-0.295375569444616
"BAU","Light truck","PHEV20","Wheels","n","Low",2018,-0.493115661948938
"BAU","Car","PHEV40","Wheels","n","Low",2018,-0.675199367535161
"BAU","Light truck","PHEV40","Wheels","n","Low",2018,-1.39318408876904
"BAU","Car","BEV100","Body","n","Low",2019,-7.82828655819947
"BAU","Light truck","BEV100","Body","n","Low",2019,-15.9957826977214
"BAU","Car","BEV300","Body","n","Low",2019,-36.4692461976555
"BAU","Light truck","BEV300","Body","n","Low",2019,-58.9465987902863
"BAU","Car","PHEV20","Body","n","Low",2019,-2.47518328233895
"BAU","Light truck","PHEV20","Body","n","Low",2019,-3.93781222460564
"BAU","Car","PHEV40","Body","n","Low",2019,-5.70192223016141
"BAU","Light truck","PHEV40","Body","n","Low",2019,-11.7406707448039
"BAU","Car","BEV100","Chassis","n","Low",2019,-10.0344400427831
"BAU","Light truck","BEV100","Chassis","n","Low",2019,-20.5036850943522
"BAU","Car","BEV300","Chassis","n","Low",2019,-46.7469428533585
"BAU","Light truck","BEV300","Chassis","n","Low",2019,-75.5588220857306
"BAU","Car","PHEV20","Chassis","n","Low",2019,-3.17273493463438
"BAU","Light truck","PHEV20","Chassis","n","Low",2019,-5.04755930608536
"BAU","Car","PHEV40","Chassis","n","Low",2019,-7.30882758593435
"BAU","Light truck","PHEV40","Chassis","n","Low",2019,-15.0494052274306
"BAU","Car","BEV100","Electronic Controller","n","Low",2019,-2.83357062656707
"BAU","Light truck","BEV100","Electronic Controller","n","Low",2019,-5.72896427329282
"BAU","Car","BEV300","Electronic Controller","n","Low",2019,-10.9338075423002
"BAU","Light truck","BEV300","Electronic Controller","n","Low",2019,-17.2360894494903
"BAU","Car","PHEV20","Electronic Controller","n","Low",2019,-0.225017423839979
"BAU","Light truck","PHEV20","Electronic Controller","n","Low",2019,-0.396504404901982
"BAU","Car","PHEV40","Electronic Controller","n","Low",2019,-0.530787416150027
"BAU","Light truck","PHEV40","Electronic Controller","n","Low",2019,-1.15401018610305
"BAU","Car","PHEV20","Engine","n","Low",2019,-1.7115250760593
"BAU","Light truck","PHEV20","Engine","n","Low",2019,-2.63185263458746
"BAU","Car","PHEV40","Engine","n","Low",2019,-4.12708093652859
"BAU","Light truck","PHEV40","Engine","n","Low",2019,-7.8942862190367
"BAU","Car","BEV100","EV Battery","n","Low",2019,-37.6812525299128
"BAU","Light truck","BEV100","EV Battery","n","Low",2019,-76.952359453195
"BAU","Car","BEV300","EV Battery","n","Low",2019,-174.507331116348
"BAU","Light truck","BEV300","EV Battery","n","Low",2019,-281.663341562313
"BAU","Car","PHEV20","EV Battery","n","Low",2019,-11.2467120457665
"BAU","Light truck","PHEV20","EV Battery","n","Low",2019,-17.8086831006367
"BAU","Car","PHEV40","EV Battery","n","Low",2019,-24.7740174192502
"BAU","Light truck","PHEV40","EV Battery","n","Low",2019,-51.0349227669074
"BAU","Car","BEV100","Exterior","n","Low",2019,-0.569329931505408
"BAU","Light truck","BEV100","Exterior","n","Low",2019,-1.1633296507434
"BAU","Car","BEV300","Exterior","n","Low",2019,-2.65230881437495
"BAU","Light truck","BEV300","Exterior","n","Low",2019,-4.2870253665663
